EnumTypeCode;EnumTypeItemCode;LocaleCode;Value
EntityType;Property;en;Property
EntityType;Requirement;en;Requirement
OwnershipType;Freeholder;en;Freehold
OwnershipType;Leaseholder;en;Leasehold
ActivityStatus;PreAppraisal;en;Pre-appraisal
ActivityStatus;MarketAppraisal;en;Market appraisal
ActivityStatus;NotSelling;en;Not selling
Division;Residential;en;Residential property
Division;Commercial;en;Commercial property
ActivityDocumentType;TermsOfBusiness;en;Terms of Business
ActivityDocumentType;MarketingSignOff;en;Marketing Sign Off
ActivityDocumentType;CDDDocument;en;CDD Document
ActivityDocumentType;Photograph;en;Photograph
ActivityDocumentType;FloorPlan;en;Floor Plan
ActivityDocumentType;Brochure;en;Brochure
ActivityDocumentType;VideoTour;en;Video Tour
ActivityDocumentType;EPC;en;EPC
ActivityDocumentType;GasCertificate;en;Gas Certificate
OfferStatus;New;en;New
OfferStatus;Withdrawn;en;Withdrawn
OfferStatus;Rejected;en;Rejected
OfferStatus;Accepted;en;Accepted
ActivityUserType;LeadNegotiator;en;Lead negotiator
ActivityUserType;SecondaryNegotiator;en;Secondary negotiator
ActivityDepartmentType;Managing;en;Managing
ActivityDepartmentType;Standard;en;Standard
MortgageStatus;Unknown;en;Unknown
MortgageStatus;NotRequiredCashFromSale;en;Not required - cash from
MortgageStatus;NotRequiredCashInBank;en;Not required - cash in bank
MortgageStatus;InProgress;en;In progress
MortgageStatus;Agreed;en;Agreed
MortgageSurveyStatus;Unknown;en;Unknown
MortgageSurveyStatus;NotRequired;en;Not required
MortgageSurveyStatus;Complete;en;Complete
MortgageSurveyStatus;Outstanding;en;Outstanding
AdditionalSurveyStatus;Unknown;en;Unknown
AdditionalSurveyStatus;NotRequired;en;Not required
AdditionalSurveyStatus;InProgress;en;In progress
AdditionalSurveyStatus;Complete;en;Complete
SearchStatus;NotStarted;en;Not started
SearchStatus;AppliedFor;en;Applied for
SearchStatus;Complete;en;Complete
Enquiries;NotStarted;en;Not started
Enquiries;Sent;en;Sent
Enquiries;Complete;en;Complete
