EnumTypeCode;EnumTypeItemCode;LocaleCode;Value
EntityType;Property;en;Property
EntityType;Requirement;en;Requirement
OwnershipType;Freeholder;en;Freehold
OwnershipType;Leaseholder;en;Leasehold
ActivityStatus;PreAppraisal;en;Pre-appraisal
ActivityStatus;MarketAppraisal;en;Market appraisal
ActivityStatus;NotSelling;en;Not selling
Division;Residential;en;Residential property
Division;Commercial;en;Commercial property
ActivityDocumentType;TermsOfBusiness;en;Terms of Business
ActivityDocumentType;MarketingSignOff;en;Marketing Sign Off
ActivityDocumentType;CDDDocument;en;CDD Document
ActivityDocumentType;Photograph;en;Photograph
ActivityDocumentType;FloorPlan;en;Floor Plan
ActivityDocumentType;Brochure;en;Brochure
ActivityDocumentType;VideoTour;en;Video Tour
ActivityDocumentType;EPC;en;EPC
ActivityDocumentType;GasCertificate;en;Gas Certificate
OfferStatus;New;en;New
OfferStatus;Withdrawn;en;Withdrawn
OfferStatus;Rejected;en;Rejected
OfferStatus;Accepted;en;Accepted
SalutationFormat;MrJohnSmith;en;Mr John Smith 
SalutationFormat;JohnSmithEsq;en;John Smith, Esq
SalutationFormat;MrJohnSmith;cs;Pan John Smith
SalutationFormat;JohnSmithEsq;cs;John Smith, Esq
SalutationFormat;MrJohnSmith;de;Herr John Smith
SalutationFormat;JohnSmithEsq;de;Herr John Smith
SalutationFormat;MrJohnSmith;es;Sr. John Smith
SalutationFormat;JohnSmithEsq;es;John Smith, letrado
SalutationFormat;MrJohnSmith;fr;M. John Smith
SalutationFormat;JohnSmithEsq;fr;John Smith, Esq
SalutationFormat;MrJohnSmith;it;Sig. Mario Rossi
SalutationFormat;JohnSmithEsq;it;Mario Rossi
SalutationFormat;MrJohnSmith;pl;Pan John Smith
SalutationFormat;JohnSmithEsq;pl;WP John Smith
SalutationFormat;MrJohnSmith;sv;John Smith
SalutationFormat;JohnSmithEsq;sv;John Smith, Esq
